model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../11_seletopclusts/cluster_5_model_3.pdb	-	27	-104.532	10.408	0.056	17.316	17.003	0.090	10.279	4	5	3	1.385	218.472	36.875	1452.830	0.000	0.000	0.000	1.910	1278.680	-405.521	44.436	0.000	0.000	0.000	-429.612	-25.476	0.000	0.000
../../11_seletopclusts/cluster_5_model_4.pdb	-	28	-103.646	10.613	0.056	17.434	17.540	0.089	10.413	4	5	4	6.755	210.819	38.457	1520.820	0.000	0.000	0.000	1.002	1283.500	-425.955	42.277	0.000	0.000	0.000	-439.333	-20.132	0.000	0.000
../../11_seletopclusts/cluster_15_model_1.pdb	-	29	-103.521	6.052	0.000	9.314	11.446	0.171	5.374	20	15	1	5.945	227.151	39.371	1553.570	0.000	0.000	0.000	-2.074	1290.580	-332.037	47.121	0.000	0.000	0.000	-361.726	-35.634	0.000	0.000
../../11_seletopclusts/cluster_8_model_2.pdb	-	30	-103.261	9.578	0.111	16.129	16.835	0.117	8.871	10	8	2	3.388	219.537	36.841	1432.370	0.000	0.000	0.000	-5.874	1294.330	-265.840	44.779	0.000	0.000	0.000	-307.009	-44.558	0.000	0.000
../../11_seletopclusts/cluster_3_model_6.pdb	-	31	-102.751	10.562	0.028	18.484	17.373	0.074	10.454	12	3	6	5.657	224.164	37.795	1582.190	0.000	0.000	0.000	-8.558	1301.440	-272.195	46.431	0.000	0.000	0.000	-306.858	-40.319	0.000	0.000
../../11_seletopclusts/cluster_7_model_2.pdb	-	32	-102.247	9.474	0.028	16.908	16.418	0.085	9.711	2	7	2	44.776	226.689	37.327	1211.200	0.000	0.000	0.000	-10.965	1286.110	-401.121	46.198	0.000	0.000	0.000	-371.881	-15.536	0.000	0.000
../../11_seletopclusts/cluster_1_model_5.pdb	-	33	-102.235	4.558	0.278	7.769	8.294	0.307	4.148	5	1	5	8.752	219.094	38.664	1334.110	0.000	0.000	0.000	-6.616	1308.690	-378.759	44.834	0.000	0.000	0.000	-390.749	-20.742	0.000	0.000
../../11_seletopclusts/cluster_5_model_5.pdb	-	34	-101.783	10.629	0.111	17.717	17.120	0.106	10.460	4	5	5	69.137	231.164	38.517	1599.320	0.000	0.000	0.000	-5.980	1309.380	-334.871	46.998	0.000	0.000	0.000	-301.476	-35.742	0.000	0.000
../../11_seletopclusts/cluster_10_model_1.pdb	-	35	-101.364	10.864	0.083	18.776	17.895	0.091	10.771	7	10	1	40.823	215.526	36.539	1477.370	0.000	0.000	0.000	-14.546	1284.700	-294.534	45.463	0.000	0.000	0.000	-285.705	-31.994	0.000	0.000
../../11_seletopclusts/cluster_1_model_6.pdb	-	36	-100.897	4.824	0.306	8.075	8.721	0.306	4.390	5	1	6	30.422	222.869	37.643	1372.200	0.000	0.000	0.000	-3.657	1284.020	-398.715	43.294	0.000	0.000	0.000	-388.831	-20.539	0.000	0.000
../../11_seletopclusts/cluster_7_model_3.pdb	-	37	-100.849	8.095	0.056	16.001	14.629	0.103	8.468	2	7	3	28.035	212.819	37.270	1339.490	0.000	0.000	0.000	-12.969	1289.110	-356.037	44.672	0.000	0.000	0.000	-347.478	-19.476	0.000	0.000
../../11_seletopclusts/cluster_7_model_4.pdb	-	38	-100.277	8.479	0.056	16.345	15.110	0.100	8.813	2	7	4	53.499	210.454	38.200	1333.060	0.000	0.000	0.000	-13.458	1310.400	-376.850	45.320	0.000	0.000	0.000	-340.150	-16.799	0.000	0.000
../../11_seletopclusts/cluster_2_model_7.pdb	-	39	-99.684	3.119	0.361	10.236	7.733	0.319	3.440	1	2	7	2.075	219.095	37.071	1354.770	0.000	0.000	0.000	-16.732	1300.710	-255.955	43.623	0.000	0.000	0.000	-285.848	-31.968	0.000	0.000
../../11_seletopclusts/cluster_7_model_5.pdb	-	40	-99.606	9.667	0.028	17.074	16.868	0.083	9.732	2	7	5	1.269	217.153	37.357	1166.100	0.000	0.000	0.000	-5.318	1282.170	-421.794	45.717	0.000	0.000	0.000	-430.581	-10.056	0.000	0.000
../../11_seletopclusts/cluster_4_model_4.pdb	-	41	-99.326	8.125	0.167	14.492	14.012	0.152	8.185	8	4	4	39.601	217.497	38.438	1459.690	0.000	0.000	0.000	-5.509	1305.750	-351.385	46.884	0.000	0.000	0.000	-339.283	-27.500	0.000	0.000
../../11_seletopclusts/cluster_9_model_2.pdb	-	42	-99.188	10.780	0.167	19.709	17.611	0.114	11.122	18	9	2	32.072	224.583	37.346	1459.380	0.000	0.000	0.000	-21.605	1310.720	-236.372	45.888	0.000	0.000	0.000	-237.815	-33.516	0.000	0.000
../../11_seletopclusts/cluster_8_model_3.pdb	-	43	-99.051	9.459	0.083	15.951	16.734	0.110	8.715	10	8	3	11.883	228.308	39.113	1466.970	0.000	0.000	0.000	-6.774	1286.770	-259.195	47.044	0.000	0.000	0.000	-288.939	-41.627	0.000	0.000
../../11_seletopclusts/cluster_8_model_4.pdb	-	44	-98.991	9.307	0.083	15.659	16.397	0.112	8.611	10	8	4	7.095	211.979	34.242	1385.190	0.000	0.000	0.000	-7.263	1291.810	-269.473	44.255	0.000	0.000	0.000	-300.922	-38.543	0.000	0.000
../../11_seletopclusts/cluster_7_model_6.pdb	-	45	-98.682	8.351	0.167	15.732	14.949	0.141	8.714	2	7	6	1.934	208.684	37.731	1277.930	0.000	0.000	0.000	-12.438	1295.400	-344.426	42.386	0.000	0.000	0.000	-360.044	-17.552	0.000	0.000
../../11_seletopclusts/cluster_7_model_7.pdb	-	46	-98.215	8.842	0.167	15.877	15.882	0.139	9.108	2	7	7	4.724	221.814	37.936	1238.030	0.000	0.000	0.000	-10.431	1287.100	-351.440	46.056	0.000	0.000	0.000	-364.684	-17.968	0.000	0.000
../../11_seletopclusts/cluster_2_model_8.pdb	-	47	-98.083	1.409	0.556	2.881	2.981	0.661	1.282	1	2	8	17.038	228.067	37.714	1374.790	0.000	0.000	0.000	-17.379	1307.890	-270.366	46.662	0.000	0.000	0.000	-281.663	-28.334	0.000	0.000
../../11_seletopclusts/cluster_7_model_8.pdb	-	48	-97.705	8.256	0.056	15.683	15.048	0.105	8.431	2	7	8	32.552	207.238	35.907	1253.190	0.000	0.000	0.000	-13.081	1285.270	-325.427	44.815	0.000	0.000	0.000	-315.670	-22.794	0.000	0.000
../../11_seletopclusts/cluster_3_model_7.pdb	-	49	-97.501	10.640	0.056	18.946	18.053	0.081	10.307	12	3	7	27.244	225.672	37.702	1525.620	0.000	0.000	0.000	-8.255	1283.040	-276.783	46.681	0.000	0.000	0.000	-286.153	-36.614	0.000	0.000
../../11_seletopclusts/cluster_8_model_5.pdb	-	50	-97.389	9.318	0.111	16.109	16.673	0.118	8.618	10	8	5	51.305	215.747	37.440	1380.470	0.000	0.000	0.000	-10.700	1303.100	-263.863	44.628	0.000	0.000	0.000	-251.605	-39.047	0.000	0.000
../../11_seletopclusts/cluster_7_model_9.pdb	-	51	-97.374	8.676	0.056	17.204	15.451	0.094	9.173	2	7	9	7.802	215.916	38.084	1270.780	0.000	0.000	0.000	-12.755	1284.900	-359.443	44.792	0.000	0.000	0.000	-365.152	-13.511	0.000	0.000
../../11_seletopclusts/cluster_11_model_1.pdb	-	52	-96.869	9.502	0.056	15.729	15.771	0.102	9.105	17	11	1	49.357	222.498	37.199	1559.160	0.000	0.000	0.000	-6.925	1292.340	-303.556	45.710	0.000	0.000	0.000	-288.368	-34.169	0.000	0.000
../../11_seletopclusts/cluster_12_model_1.pdb	-	53	-96.774	6.525	0.028	10.995	11.722	0.151	6.037	3	12	1	46.287	229.464	39.219	1153.300	0.000	0.000	0.000	-14.222	1295.430	-344.770	43.968	0.000	0.000	0.000	-316.710	-18.227	0.000	0.000
../../11_seletopclusts/cluster_15_model_2.pdb	-	54	-96.463	6.175	0.028	9.804	11.847	0.171	5.420	20	15	2	47.804	222.970	38.303	1445.210	0.000	0.000	0.000	2.148	1291.040	-406.133	45.595	0.000	0.000	0.000	-380.494	-22.165	0.000	0.000
../../11_seletopclusts/cluster_9_model_3.pdb	-	55	-96.335	10.737	0.111	18.551	17.364	0.101	10.934	18	9	3	39.957	233.995	37.833	1310.970	0.000	0.000	0.000	-23.657	1283.430	-230.788	47.487	0.000	0.000	0.000	-221.348	-30.516	0.000	0.000
../../11_seletopclusts/cluster_14_model_1.pdb	-	56	-96.130	5.792	0.139	13.411	10.789	0.163	6.189	9	14	1	30.738	220.405	39.063	1589.580	0.000	0.000	0.000	-2.953	1282.010	-305.865	47.744	0.000	0.000	0.000	-310.205	-35.078	0.000	0.000
../../11_seletopclusts/cluster_5_model_6.pdb	-	57	-96.095	10.490	0.083	18.068	16.970	0.095	10.415	4	5	6	19.624	227.671	37.032	1498.600	0.000	0.000	0.000	-5.343	1291.280	-395.920	47.157	0.000	0.000	0.000	-389.827	-13.531	0.000	0.000
../../11_seletopclusts/cluster_3_model_8.pdb	-	58	-95.007	10.538	0.056	17.730	17.386	0.087	10.092	12	3	8	19.324	215.152	35.808	1634.930	0.000	0.000	0.000	-8.788	1296.440	-267.549	43.114	0.000	0.000	0.000	-282.867	-34.642	0.000	0.000
../../11_seletopclusts/cluster_4_model_5.pdb	-	59	-94.908	7.051	0.222	12.628	12.985	0.192	6.887	8	4	5	5.948	220.105	36.502	1229.260	0.000	0.000	0.000	-11.945	1300.760	-272.097	42.996	0.000	0.000	0.000	-295.287	-29.138	0.000	0.000
../../11_seletopclusts/cluster_2_model_9.pdb	-	60	-94.588	0.978	0.750	2.250	1.697	0.795	0.985	1	2	9	40.280	214.039	36.163	1456.180	0.000	0.000	0.000	-21.530	1292.860	-179.931	45.471	0.000	0.000	0.000	-180.750	-41.099	0.000	0.000
../../11_seletopclusts/cluster_7_model_10.pdb	-	61	-94.229	9.111	0.028	17.536	15.983	0.081	9.545	2	7	10	10.092	206.149	36.103	1152.830	0.000	0.000	0.000	-9.867	1294.010	-394.300	44.771	0.000	0.000	0.000	-390.719	-6.511	0.000	0.000
../../11_seletopclusts/cluster_11_model_2.pdb	-	62	-94.101	9.234	0.083	15.484	15.456	0.114	8.910	17	11	2	67.212	219.648	37.305	1464.000	0.000	0.000	0.000	-16.223	1287.150	-231.917	43.660	0.000	0.000	0.000	-202.921	-38.216	0.000	0.000
../../11_seletopclusts/cluster_5_model_7.pdb	-	63	-94.045	9.539	0.083	16.906	15.869	0.103	9.586	4	5	7	98.352	216.281	36.644	1378.650	0.000	0.000	0.000	0.716	1295.570	-490.201	45.384	0.000	0.000	0.000	-398.405	-6.555	0.000	0.000
../../11_seletopclusts/cluster_14_model_2.pdb	-	64	-93.936	5.768	0.139	13.269	10.683	0.164	6.199	9	14	2	34.818	230.424	38.470	1547.670	0.000	0.000	0.000	-3.735	1277.910	-306.456	45.441	0.000	0.000	0.000	-304.030	-32.392	0.000	0.000
../../11_seletopclusts/cluster_1_model_7.pdb	-	65	-93.631	4.233	0.278	7.025	7.518	0.328	3.894	5	1	7	6.614	223.204	40.058	1252.660	0.000	0.000	0.000	-11.524	1294.610	-278.754	48.823	0.000	0.000	0.000	-299.157	-27.017	0.000	0.000
../../11_seletopclusts/cluster_3_model_9.pdb	-	66	-93.559	10.508	0.083	17.872	17.357	0.096	10.189	12	3	9	11.710	213.860	36.267	1535.490	0.000	0.000	0.000	-12.525	1293.820	-225.035	43.304	0.000	0.000	0.000	-250.523	-37.198	0.000	0.000
../../11_seletopclusts/cluster_1_model_8.pdb	-	67	-93.398	3.964	0.333	6.837	7.224	0.355	3.621	5	1	8	28.802	211.627	37.147	1354.900	0.000	0.000	0.000	-6.908	1282.200	-338.032	44.146	0.000	0.000	0.000	-330.993	-21.763	0.000	0.000
../../11_seletopclusts/cluster_12_model_2.pdb	-	68	-93.219	7.965	0.139	14.746	15.343	0.141	7.513	3	12	2	42.256	218.100	36.287	1174.160	0.000	0.000	0.000	-12.472	1292.200	-264.061	43.115	0.000	0.000	0.000	-253.965	-32.160	0.000	0.000
../../11_seletopclusts/cluster_1_model_9.pdb	-	69	-93.190	2.907	0.306	5.114	5.081	0.417	2.717	5	1	9	0.653	210.965	36.318	1351.480	0.000	0.000	0.000	-4.386	1280.750	-328.269	41.930	0.000	0.000	0.000	-350.831	-23.216	0.000	0.000
../../11_seletopclusts/cluster_13_model_2.pdb	-	70	-92.774	5.395	0.194	17.147	13.121	0.154	5.916	14	13	2	0.179	219.572	39.068	1277.550	0.000	0.000	0.000	3.308	1297.130	-361.187	43.569	0.000	0.000	0.000	-384.871	-23.863	0.000	0.000
../../11_seletopclusts/cluster_2_model_10.pdb	-	71	-92.363	2.799	0.361	6.678	6.646	0.401	2.561	1	2	10	14.359	226.737	36.300	1203.600	0.000	0.000	0.000	-22.700	1289.800	-268.003	44.255	0.000	0.000	0.000	-271.141	-17.498	0.000	0.000
../../11_seletopclusts/cluster_4_model_6.pdb	-	72	-92.256	5.936	0.222	10.807	11.082	0.221	5.799	8	4	6	47.446	233.186	37.902	1172.970	0.000	0.000	0.000	-10.591	1301.830	-260.732	49.112	0.000	0.000	0.000	-247.549	-34.263	0.000	0.000
../../11_seletopclusts/cluster_10_model_2.pdb	-	73	-92.199	10.865	0.139	18.585	17.913	0.110	10.715	7	10	2	23.622	225.947	37.376	1520.350	0.000	0.000	0.000	-17.376	1282.310	-174.619	45.806	0.000	0.000	0.000	-193.259	-42.262	0.000	0.000
../../11_seletopclusts/cluster_4_model_7.pdb	-	74	-92.165	7.632	0.167	13.577	13.929	0.162	7.552	8	4	7	87.530	228.684	38.106	1363.420	0.000	0.000	0.000	-6.840	1306.030	-363.619	46.579	0.000	0.000	0.000	-297.443	-21.354	0.000	0.000
../../11_seletopclusts/cluster_10_model_3.pdb	-	75	-92.036	10.804	0.139	17.786	17.401	0.115	10.580	7	10	3	88.470	229.020	40.069	1602.830	0.000	0.000	0.000	-14.834	1293.460	-201.375	47.318	0.000	0.000	0.000	-158.678	-45.773	0.000	0.000
../../11_seletopclusts/cluster_4_model_8.pdb	-	76	-91.846	5.814	0.250	10.681	10.355	0.233	5.839	8	4	8	65.706	220.735	36.506	1407.000	0.000	0.000	0.000	-6.737	1290.930	-284.455	46.435	0.000	0.000	0.000	-253.537	-34.788	0.000	0.000
../../11_seletopclusts/cluster_10_model_4.pdb	-	77	-91.843	10.900	0.083	18.607	18.022	0.092	10.671	7	10	4	20.661	211.253	37.780	1423.050	0.000	0.000	0.000	-14.951	1313.120	-228.889	43.309	0.000	0.000	0.000	-241.408	-33.180	0.000	0.000
../../11_seletopclusts/cluster_11_model_3.pdb	-	78	-91.642	9.294	0.083	15.391	15.514	0.114	8.904	17	11	3	68.366	220.667	37.815	1600.580	0.000	0.000	0.000	-4.841	1313.870	-309.707	45.089	0.000	0.000	0.000	-273.037	-31.696	0.000	0.000
../../11_seletopclusts/cluster_10_model_5.pdb	-	79	-91.463	10.947	0.111	19.666	18.323	0.096	10.888	7	10	5	35.225	215.302	37.302	1431.040	0.000	0.000	0.000	-16.767	1282.220	-189.113	42.197	0.000	0.000	0.000	-194.284	-40.397	0.000	0.000
../../11_seletopclusts/cluster_5_model_8.pdb	-	80	-91.456	10.158	0.083	17.191	16.697	0.100	10.077	4	5	8	0.463	212.861	35.945	1278.730	0.000	0.000	0.000	5.322	1279.780	-406.199	41.699	0.000	0.000	0.000	-421.320	-15.585	0.000	0.000
../../11_seletopclusts/cluster_12_model_3.pdb	-	81	-91.394	6.221	0.028	10.574	11.237	0.158	5.761	3	12	3	7.719	222.295	38.080	1227.070	0.000	0.000	0.000	-9.919	1291.740	-357.906	43.658	0.000	0.000	0.000	-360.852	-10.665	0.000	0.000
../../11_seletopclusts/cluster_12_model_4.pdb	-	82	-91.309	7.552	0.139	13.524	14.300	0.153	7.119	3	12	4	69.930	223.691	37.563	1172.750	0.000	0.000	0.000	-9.121	1301.710	-323.228	42.967	0.000	0.000	0.000	-277.834	-24.536	0.000	0.000
../../11_seletopclusts/cluster_14_model_3.pdb	-	83	-90.836	7.177	0.083	15.174	13.065	0.121	7.464	9	14	3	36.786	218.331	37.070	1405.790	0.000	0.000	0.000	0.891	1282.240	-344.841	42.084	0.000	0.000	0.000	-334.493	-26.437	0.000	0.000
../../11_seletopclusts/cluster_11_model_4.pdb	-	84	-90.763	9.151	0.056	16.088	15.284	0.100	8.940	17	11	4	7.990	223.184	36.262	1377.580	0.000	0.000	0.000	-13.714	1299.850	-224.438	45.510	0.000	0.000	0.000	-249.409	-32.960	0.000	0.000
../../11_seletopclusts/cluster_9_model_4.pdb	-	85	-90.292	10.696	0.139	20.491	17.457	0.102	11.350	18	9	4	31.062	223.908	36.936	1318.890	0.000	0.000	0.000	-17.931	1294.650	-196.672	45.426	0.000	0.000	0.000	-201.743	-36.133	0.000	0.000
../../11_seletopclusts/cluster_8_model_6.pdb	-	86	-90.179	9.533	0.111	16.334	16.727	0.116	8.964	10	8	6	5.061	217.732	35.202	1304.100	0.000	0.000	0.000	-7.251	1287.270	-258.908	44.727	0.000	0.000	0.000	-285.499	-31.652	0.000	0.000
../../11_seletopclusts/cluster_12_model_5.pdb	-	87	-89.992	5.986	0.056	10.381	10.586	0.172	5.711	3	12	5	9.812	226.993	39.570	1233.640	0.000	0.000	0.000	-13.310	1301.470	-267.454	43.338	0.000	0.000	0.000	-281.813	-24.172	0.000	0.000
../../11_seletopclusts/cluster_4_model_9.pdb	-	88	-89.816	4.966	0.250	8.953	9.130	0.269	4.878	8	4	9	26.297	222.149	37.559	1289.250	0.000	0.000	0.000	-9.219	1297.210	-233.249	44.654	0.000	0.000	0.000	-243.529	-36.577	0.000	0.000
../../11_seletopclusts/cluster_14_model_4.pdb	-	89	-89.148	5.288	0.167	11.386	9.697	0.200	5.535	9	14	4	43.218	222.677	38.317	1517.500	0.000	0.000	0.000	-11.982	1306.160	-219.445	44.707	0.000	0.000	0.000	-213.825	-37.599	0.000	0.000
../../11_seletopclusts/cluster_4_model_10.pdb	-	90	-88.909	6.620	0.194	11.771	11.916	0.195	6.532	8	4	10	90.247	229.071	38.577	1234.060	0.000	0.000	0.000	-9.656	1287.560	-326.433	44.462	0.000	0.000	0.000	-259.178	-22.992	0.000	0.000
../../11_seletopclusts/cluster_8_model_7.pdb	-	91	-88.859	9.474	0.056	15.699	16.485	0.102	8.799	10	8	7	10.629	215.066	37.680	1330.180	0.000	0.000	0.000	-7.071	1298.220	-236.412	44.382	0.000	0.000	0.000	-261.351	-35.568	0.000	0.000
../../11_seletopclusts/cluster_14_model_5.pdb	-	92	-88.269	6.075	0.139	14.395	11.304	0.152	6.574	9	14	5	9.323	221.658	39.136	1538.480	0.000	0.000	0.000	-5.955	1299.810	-241.717	45.190	0.000	0.000	0.000	-267.298	-34.904	0.000	0.000
../../11_seletopclusts/cluster_5_model_9.pdb	-	93	-88.039	9.834	0.083	16.520	16.501	0.105	9.644	4	5	9	42.660	199.933	36.251	1359.160	0.000	0.000	0.000	3.339	1283.000	-401.898	43.505	0.000	0.000	0.000	-374.503	-15.265	0.000	0.000
../../11_seletopclusts/cluster_19_model_1.pdb	-	94	-87.828	5.108	0.028	10.196	9.726	0.172	4.905	11	19	1	82.961	225.845	38.940	1520.030	0.000	0.000	0.000	3.148	1323.830	-278.324	46.485	0.000	0.000	0.000	-238.969	-43.607	0.000	0.000
../../11_seletopclusts/cluster_18_model_1.pdb	-	95	-87.632	10.296	0.056	17.734	17.493	0.088	9.682	16	18	1	38.962	228.971	37.231	1403.820	0.000	0.000	0.000	1.716	1306.240	-350.049	48.327	0.000	0.000	0.000	-334.322	-23.235	0.000	0.000
../../11_seletopclusts/cluster_14_model_6.pdb	-	96	-87.383	5.933	0.167	13.136	10.992	0.174	6.258	9	14	6	40.728	216.920	37.159	1521.970	0.000	0.000	0.000	-3.563	1283.910	-279.864	47.380	0.000	0.000	0.000	-271.056	-31.920	0.000	0.000
